Jacob's average is 89.67
Michael's average is 94.67
Joshua's average is 90.67
Matthew's average is 85.67
Daniel's average is 84.00
Christopher's average is 92.67
Andrew's average is 92.00
Ethan's average is 86.67
Joseph's average is 91.67
Emily's average is 82.67
Madison's average is 93.00
Emma's average is 92.67
Olivia's average is 95.67
Hannah's average is 92.67
Abigail's average is 91.33
Isabella's average is 88.33
Samantha's average is 91.00
Elizabeth's average is 97.67
Ashley's average is 87.00
Alexis's average is 91.33
Sarah's average is 85.33
Sophia's average is 88.00
